도로명 주소,지번 주소,위도,경도,주택유형구분,세대수(객실수),건축연도
전북특별자치도 전주시 완산구 고사평4길 4-8,전북특별자치도 전주시 완산구 서신동 948-6,35.83510504,127.1098186,"단독주택,소매점",9,2007-08-07
전북특별자치도 전주시 완산구 중산8길 7-6,전북특별자치도 전주시 완산구 중화산동2가 602-11,35.81824451,127.1212067,단독주택,16,2007-08-09
전북특별자치도 전주시 완산구 고사평7길 5,전북특별자치도 전주시 완산구 서신동 924-1,35.83729217,127.1096667,단독주택,11,2007-08-13
전북특별자치도 전주시 완산구 서곡3길 13-17,전북특별자치도 전주시 완산구 효자동3가 1431-2,35.83589005,127.1005312,단독주택,8,2007-08-13
전북특별자치도 전주시 완산구 고사평5길 21,전북특별자치도 전주시 완산구 서신동 932-4,35.83701841,127.1078308,"단독주택,제1.2종근린생활시설",5,2007-08-14
전북특별자치도 전주시 완산구 고사평2길 9-6,전북특별자치도 전주시 완산구 서신동 951-12,35.83484781,127.1108079,단독주택,7,2007-08-14
전북특별자치도 전주시 완산구 용리로 57-12,전북특별자치도 전주시 완산구 효자동1가 668-9,35.79906249,127.1159156,단독주택,10,2007-08-14
전북특별자치도 전주시 완산구 고사평8길 4,전북특별자치도 전주시 완산구 서신동 926-2,35.83690474,127.110426,단독주택,10,2007-08-16
전북특별자치도 전주시 완산구 서곡3길 14-21,전북특별자치도 전주시 완산구 효자동3가 1412-8,35.83691529,127.1006798,단독주택,11,2007-08-21
전북특별자치도 전주시 완산구 서곡7길 20-8,전북특별자치도 전주시 완산구 효자동3가 1477-10,35.83237733,127.10136,단독주택,10,2007-08-21
전북특별자치도 전주시 덕진구 아중중앙로 23-7,전북특별자치도 전주시 덕진구 우아동2가 908-3,35.82995079,127.1711521,단독주택(다가구주택),3,2007-08-24
전북특별자치도 전주시 덕진구 거북바우로 105,전북특별자치도 전주시 덕진구 인후동2가 1540-14,35.84212649,127.1472838,단독주택(다가구주택),12,2007-08-24
전북특별자치도 전주시 덕진구 작은모래내2길 17,전북특별자치도 전주시 덕진구 인후동2가 232-38,35.8333663,127.1477727,단독주택(다가구주택),17,2007-08-27
전북특별자치도 전주시 완산구 고사평3길 4,전북특별자치도 전주시 완산구 서신동 937-8,35.83608173,127.1094261,"단독주택,제2종근린생활시설",6,2007-08-27
전북특별자치도 전주시 완산구 효동3길 12,전북특별자치도 전주시 완산구 효자동1가 103-5,35.80535007,127.1287526,"단독주택,제1종근린생활시설",2,2007-08-27
전북특별자치도 전주시 덕진구 가재미5길 13-2,전북특별자치도 전주시 덕진구 인후동1가 870-2,35.82969328,127.1602526,단독주택,15,2007-08-28
전북특별자치도 전주시 완산구 메너머1길 14-9,전북특별자치도 전주시 완산구 중화산동2가 574-3,35.82124934,127.1206469,단독주택,13,2007-08-28
전북특별자치도 전주시 덕진구 가재미3길 12,전북특별자치도 전주시 덕진구 인후동1가 871-6,35.82920006,127.1610345,단독주택(다가구주택),15,2007-08-29
전북특별자치도 전주시 완산구 서곡6길 23-10,전북특별자치도 전주시 완산구 효자동3가 1424-6,35.83490304,127.1037645,단독주택,11,2007-08-29
전북특별자치도 전주시 덕진구 인교2길 9-2,전북특별자치도 전주시 덕진구 우아동1가 1091-2,35.8271163,127.1709196,단독주택(다가구주택),10,2007-08-30
전북특별자치도 전주시 덕진구 도당산4길 56,전북특별자치도 전주시 덕진구 우아동3가 748-54,35.8464535,127.1555241,단독주택(다가구주택),14,2007-09-03
전북특별자치도 전주시 완산구 고사평4길 14-5,전북특별자치도 전주시 완산구 서신동 952-12,35.83494725,127.111163,단독주택,10,2007-09-05
전북특별자치도 전주시 완산구 서곡로 63,전북특별자치도 전주시 완산구 효자동3가 1458-1,35.83466022,127.1007163,단독주택,4,2007-09-05
전북특별자치도 전주시 완산구 중산6길 3-4,전북특별자치도 전주시 완산구 중화산동2가 604-6,35.81716373,127.1208403,단독주택,11,2007-09-11
전북특별자치도 전주시 완산구 서곡2길 6-11,전북특별자치도 전주시 완산구 효자동3가 1461-8,35.83363953,127.1010594,단독주택,10,2007-09-12
전북특별자치도 전주시 완산구 고사평2길 3-8,전북특별자치도 전주시 완산구 서신동 949-13,35.83496163,127.1100372,단독주택,9,2007-09-13
전북특별자치도 전주시 덕진구 진버들6길 8-9,전북특별자치도 전주시 덕진구 우아동2가 858-5,35.83669783,127.1676695,단독주택(다가구-9가구),9,2007-09-14
전북특별자치도 전주시 덕진구 서가재미2길 6-3,전북특별자치도 전주시 덕진구 인후동1가 827-12,35.83155716,127.1592445,단독주택(다가구주택),17,2007-09-14
전북특별자치도 전주시 완산구 용산마을길 42-3,전북특별자치도 전주시 완산구 삼천동2가 123-1,35.79357962,127.1019247,단독주택,2,2007-09-17
전북특별자치도 전주시 완산구 중산6길 7-3,전북특별자치도 전주시 완산구 중화산동2가 604-3,35.81716554,127.1210075,단독주택,11,2007-09-17
전북특별자치도 전주시 덕진구 석소3길 5-12,전북특별자치도 전주시 덕진구 우아동2가 879-9,35.8336704,127.1697993,단독주택(다가구주택),11,2007-09-20
전북특별자치도 전주시 덕진구 우아2길 12,전북특별자치도 전주시 덕진구 우아동3가 746-27,35.84911806,127.1580819,단독주택(다가구주택),17,2007-09-20
전북특별자치도 전주시 완산구 인정3길 4,전북특별자치도 전주시 완산구 중화산동2가 576-8,35.82063946,127.1198312,단독주택,11,2007-09-20
전북특별자치도 전주시 완산구 서신천변4길 8-3,전북특별자치도 전주시 완산구 서신동 849-19,35.8276554,127.1151324,단독주택,8,2007-09-21
전북특별자치도 전주시 완산구 고사평6길 7-6,전북특별자치도 전주시 완산구 서신동 928-9,35.83641891,127.1107827,단독주택및제2종근린생활시설,5,2007-10-02
전북특별자치도 전주시 완산구 고사평7길 13,전북특별자치도 전주시 완산구 서신동 1016-1,35.8376034,127.1090427,단독주택,11,2007-10-04
전북특별자치도 전주시 덕진구 무삼지2길 6-4,전북특별자치도 전주시 덕진구 인후동1가 900-9,35.82694974,127.1627484,단독주택(다가구주택),18,2007-10-05
전북특별자치도 전주시 완산구 중산3길 3,전북특별자치도 전주시 완산구 중화산동2가 622-14,35.81560826,127.1200123,단독주택,11,2007-10-05
전북특별자치도 전주시 완산구 메너머3길 17-14,전북특별자치도 전주시 완산구 중화산동2가 693-5,35.82322211,127.120637,단독주택(다가구주택),9,2007-10-05
전북특별자치도 전주시 완산구 서곡4길 43,전북특별자치도 전주시 완산구 효자동3가 1469-6,35.83280521,127.1029949,"단독주택,제2종근린생활시설",4,2007-10-09
전북특별자치도 전주시 완산구 서학1길 35,전북특별자치도 전주시 완산구 서서학동 268-1,35.8075128,127.1501428,단독주택,15,2007-10-10
전북특별자치도 전주시 완산구 고사평9길 20,전북특별자치도 전주시 완산구 서신동 1005-4,35.838795,127.1093924,"단독주택,제2종근린생활시설",4,2007-10-12
전북특별자치도 전주시 완산구 학전길 69-10,전북특별자치도 전주시 완산구 원당동 1105,35.76289012,127.1045676,단독주택,2,2007-10-15
전북특별자치도 전주시 완산구 중산5길 8-5,전북특별자치도 전주시 완산구 중화산동2가 626-16,35.81567007,127.1212887,"단독주택,제1종근린생활시설",6,2007-10-15
전북특별자치도 전주시 덕진구 백제대로 556-10,전북특별자치도 전주시 덕진구 금암동 710-16,35.83931666,127.1312535,단독주택,7,2007-10-17
전북특별자치도 전주시 덕진구 인교5길 21-5,전북특별자치도 전주시 덕진구 우아동1가 916-5,35.82782624,127.1743592,"단독주택,제2종근린생활시설",9,2007-10-19
전북특별자치도 전주시 완산구 평화4길 14,전북특별자치도 전주시 완산구 평화동2가 915-4,35.78249853,127.1346666,단독주택(다가구주택),10,2007-10-19
전북특별자치도 전주시 완산구 고사평4길 14,전북특별자치도 전주시 완산구 서신동 951-2,35.83525047,127.1109368,"제1,2종근린생활시설",7,2007-10-26
전북특별자치도 전주시 완산구 맏내로 158-7,전북특별자치도 전주시 완산구 평화동2가 842-17,35.7942524,127.1290577,다가구주택,11,2007-10-26
전북특별자치도 전주시 완산구 서곡3길 2-17,전북특별자치도 전주시 완산구 효자동3가 1415-5,35.83667294,127.1015331,"단독주택,소매점",4,2007-10-26
전북특별자치도 전주시 완산구 서곡3길 2-23,전북특별자치도 전주시 완산구 효자동3가 1416-8,35.83632624,127.1015133,단독주택및제1종근린생활시설,8,2007-10-31
전북특별자치도 전주시 덕진구 가재미로 76,전북특별자치도 전주시 덕진구 인후동1가 843-17,35.83169113,127.1614374,단독주택,15,2007-11-05
전북특별자치도 전주시 완산구 고사평9길 23-3,전북특별자치도 전주시 완산구 서신동 1007-10,35.8387128,127.1087037,단독주택및제1종 근린생활시설,7,2007-11-05
전북특별자치도 전주시 완산구 유연로 349-9,전북특별자치도 전주시 완산구 서신동 990-5,35.82606719,127.1236735,다가구주택,6,2007-11-07
전북특별자치도 전주시 완산구 맏내3길 14-6,전북특별자치도 전주시 완산구 평화동1가 704-1,35.79318929,127.1303751,다가구주택,12,2007-11-08
전북특별자치도 전주시 완산구 서곡1길 1-6,전북특별자치도 전주시 완산구 효자동3가 1457-4,35.834516,127.1003056,"단독주택,제2종근린생활시설",8,2007-11-08
전북특별자치도 전주시 덕진구 아중3길 6-3,전북특별자치도 전주시 덕진구 우아동2가 910-7,35.82904371,127.1702405,단독주택(다가구주택),16,2007-11-13
